"","stimulus","translation_ru","stimulus_source","s_1","s_10","s_11","s_12","s_13","s_14","s_15","s_16","s_2","s_3","s_4","s_5","s_6","s_7","s_8","s_9"
"65","qχota","ладонь","native","r","r","r","r","r","r","r","r","r","r","b","r","r","r","r","r"
"66","radio","радио","loan","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"67","raketa","ракета","loan","b","b","r","b","b","r","r","b","b","b","b","b","r","b","b","b"
"68","raχasi","цепь","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"69","reʃa","дерево","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"70","rekun","нитка","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"71","reɬo","море","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"72","ritɬ'i","мясо","native","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"73","riʒi","лицо","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"74","rok'o","сердце","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"75","romaʃka","ромашка","loan","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"76","roʃon","веревка","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"77","rozʲetka","розетка","loan","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"78","rʲukzak","рюкзак","loan","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"79","salfʲetka","салфетка","loan","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"80","samolʲot","самолет","loan","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"81","simkarta","сим-карта","loan","r","b","r","r","b","b","r","b","b","r","b","r","r","r","r","r"
"82","sol","зуб","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"83","sputnʲik","спутник","loan","b","b","r","b","b","b","r","b","b","b","b","b","b","b","r","r"
"84","sumka","сумка","loan","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"85","tʃ'ami","сыр","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"86","tarif","тариф","loan","b","b","b","b","b","r","b","b","b","b","b","b","b","b","b","b"
"87","tatʃka","тачка","loan","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"88","telefon","телефон","loan","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"89","tɬ'ir","мост","native","b","r","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"90","tʃ'itʃ'om","камешек","native","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"91","ts'a","огонь","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"92","ts'ːa","звезда","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"93","tsʲelʲevʲizor","телевизор","loan","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"94","tsʲetradzʲ","тетрадь","loan","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"95","ts'iq'u","иней","native","b","b","r","b","b","b","b","b","b","b","b","b","b","b","b","b"
"96","ts'ul","палка","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"97","ts'umur","вилка","native","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"98","ʃu","могила","native","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"99","ɡurdo","рубашка","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"100","vaɡon","вагон","loan","b","b","r","b","r","r","r","r","b","b","b","b","b","r","r","b"
"101","za","кулак","native","r","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"102","zar","лед","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"103","zarʲadka","зарядка","loan","b","b","r","b","b","b","b","b","b","b","b","b","b","b","b","b"
"104","zatʃetka","зачетка","loan","b","r","r","r","b","r","r","b","b","b","r","r","r","r","b","r"
"105","zaʒiɡalka","зажигалка","loan","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"106","χur","поле, огород","native","r","r","r","b","b","b","r","r","r","r","r","b","r","r","r","r"
